,method_key,dataset_key,seed,time,status,checksum,bias_h1,bias_l2_h1,time2
0,unweighted,News,0,0.715641975402832,Done,2293.717403566159,0.8778875819256445,1.2539754992076524,7.420011043548584
1,unweighted,News,1,11.131577730178833,Done,2732.08117885045,0.5089685048140007,0.6522274557566423,17.03820562362671
2,unweighted,News,2,8.307777166366577,Done,2391.024532802661,0.27207340640520367,0.35660607509489023,17.287245750427246
3,unweighted,News,3,6.017693042755127,Done,2408.330944730992,0.392141448131198,0.5579329090550473,17.043541193008423
4,unweighted,News,4,8.409706830978394,Done,2691.403927040199,0.7198410337740941,0.9347133210537807,14.398549795150757
5,unweighted,News,5,5.57441520690918,Done,2722.3457942040327,0.621708684452803,0.7897312879110739,13.578690767288208
6,unweighted,News,6,5.325786590576172,Done,2416.1454963351457,0.30721025619312,0.40832539260311407,12.658096551895142
7,unweighted,News,7,5.61220908164978,Done,2276.0533576931844,0.3068002533204026,0.43390562254745896,14.26157259941101
8,unweighted,News,8,7.193988084793091,Done,2775.3698135247405,0.5280690180480031,0.6394090174649792,14.290661573410034
9,unweighted,News,9,7.295184850692749,Done,2464.162421030651,0.13828259086480024,0.17944314812648954,14.673938274383545
10,unweighted,News,10,7.996379375457764,Done,2442.6488519970976,0.5482954012656037,0.7794442694279439,16.399253129959106
11,unweighted,News,11,8.515801429748535,Done,2152.57109317188,0.209275735299362,0.2905051626310582,14.046736717224121
12,unweighted,News,12,8.933437824249268,Done,2804.5740444459097,0.6046494907096008,0.7496845248579811,14.79182243347168
13,unweighted,News,13,7.1100287437438965,Done,2351.3787945701083,0.41094384087119135,0.5645883235154825,15.457591772079468
14,unweighted,News,14,16.272347688674927,Done,2241.9775389577285,0.327109437922633,0.42834338396525395,21.95138382911682
15,unweighted,News,15,8.357714176177979,Done,2704.31846600419,0.6783020868744029,0.9068417581868202,16.19893217086792
16,unweighted,News,16,5.592344760894775,Done,2154.7405816545784,1.033964818399999,1.5458299641707096,12.42945122718811
17,unweighted,News,17,5.678070545196533,Done,2389.4638909734203,0.45607187819400336,0.6151523973790535,12.98894739151001
18,unweighted,News,18,5.131612777709961,Done,2555.573369061002,0.2776948710197618,0.38430334171025443,12.011175870895386
19,unweighted,News,19,5.924035310745239,Done,2316.276231747563,0.44663418495471996,0.6106589014957526,12.48576545715332
20,unweighted,News,20,5.641153812408447,Done,2275.4514774018126,0.6806895675895988,0.9710825697923448,12.30181336402893
21,unweighted,News,21,4.541224241256714,Done,2413.212128111431,0.24850324789879477,0.3216152891401521,10.870527982711792
22,unweighted,News,22,4.7058351039886475,Done,2321.2664295194695,0.45778397931040726,0.66835048818287,10.285205125808716
23,unweighted,News,23,6.501951694488525,Done,2116.3856041455274,0.13365609747647586,0.1836780744135107,12.746898651123047
24,unweighted,News,24,4.176192760467529,Done,2584.6960668298016,0.4247296545615929,0.566147886466012,9.87794303894043
25,unweighted,News,25,4.5524821281433105,Done,2346.0810046420206,0.3233626156836002,0.4360204814022565,10.324836492538452
26,unweighted,News,26,4.957886695861816,Done,2231.8718000033364,0.24759227789903598,0.36443803492158533,10.153480768203735
27,unweighted,News,27,5.673949718475342,Done,2627.356147197176,0.7256277630543962,0.9844135780155389,10.837965965270996
28,unweighted,News,28,3.8138346672058105,Done,2284.7952141870496,0.23209544651588093,0.3132082668950384,9.037109136581421
29,unweighted,News,29,5.511932373046875,Done,2722.409197221916,0.6251162593780071,0.7830858849683293,11.087888479232788
30,unweighted,News,30,4.833551406860352,Done,2541.5948350051535,0.3704960952586729,0.5122391166675987,10.699145317077637
31,unweighted,News,31,5.766327381134033,Done,2303.999192762076,0.2628776341999986,0.3550432956668383,12.226830005645752
32,unweighted,News,32,5.286046028137207,Done,2188.484182433942,0.08044006713800173,0.11210362724687867,10.773650646209717
33,unweighted,News,33,5.974389553070068,Done,2442.440363820503,0.4301683281495927,0.5718175590709332,12.016403198242188
34,unweighted,News,34,5.417877197265625,Done,2673.0442707105162,0.4286391794529707,0.5759388833714566,10.989219903945923
35,unweighted,News,35,5.281202793121338,Done,2479.228483548582,0.21678900949900262,0.25776948239135616,10.730994939804077
36,unweighted,News,36,6.205711603164673,Done,2624.686854190929,0.27332257459199866,0.3469276730128277,11.8348867893219
37,unweighted,News,37,9.474841356277466,Done,2353.142109049695,0.33500628652788683,0.44887784767698774,14.881177186965942
38,unweighted,News,38,6.662212610244751,Done,2385.4320072638375,0.4475676669635991,0.6277743493040361,18.103098154067993
39,unweighted,News,39,4.854827165603638,Done,2472.4219150802496,0.32220923713856153,0.4153419429768948,20.153733491897583
40,unweighted,News,40,3.385740041732788,Done,2676.94635902079,0.36517278017441,0.4855530403543479,14.169575691223145
41,unweighted,News,41,7.905197620391846,Done,2304.4088932391655,0.6398955280640016,0.9135341974989613,15.798605680465698
42,unweighted,News,42,8.83478569984436,Done,2407.115908490637,0.3219785547464775,0.4303989008540264,17.12893509864807
43,unweighted,News,43,9.377413034439087,Done,2419.100667378188,0.1776746020500057,0.23495934070640975,16.98463535308838
44,unweighted,News,44,11.298784255981445,Done,2631.8681283664655,0.4716648217249651,0.5881693094672916,19.9302818775177
45,unweighted,News,45,11.512945175170898,Done,2541.426132637696,0.2369659976940404,0.3118843711069335,19.420265197753906
46,unweighted,News,46,11.0469388961792,Done,2721.3165123300023,0.6058741795361556,0.7576841863298852,19.632792711257935
47,unweighted,News,47,6.796112298965454,Done,2285.130325806811,1.1037527242399976,1.583537603412615,14.198008298873901
48,unweighted,News,48,2.0109591484069824,Done,2342.9321401228985,0.22236823223319607,0.2661798938697221,13.888021230697632
49,unweighted,News,49,1.0712425708770752,Done,2173.4068130343876,1.3749090333761678,2.0707484251499646,8.625215768814087
